day_of_week,hour,active_orders,occupied_tables,estimated_occupancy,kitchen_load,bar_load,avg_preparation_time,orders_last_30_min,order_age_minutes,item_count,traffic_level,recommended_waiters,recommended_kitchen_staff,recommended_bar_staff,delay_risk
5,11,2,1,12,2,1,25,1,5,7,SCAZUT,1,1,1,SCAZUT
0,8,1,1,21,0,0,28,4,34,7,SCAZUT,1,1,1,MEDIU
1,22,0,1,27,0,0,18,3,6,2,SCAZUT,1,1,1,SCAZUT
3,11,13,11,81,10,9,11,24,24,2,RIDICAT,5,4,3,RIDICAT
4,17,1,0,6,1,0,10,5,14,2,SCAZUT,1,1,1,SCAZUT
3,16,8,5,40,8,7,30,10,4,3,MEDIU,3,2,1,MEDIU
4,15,3,3,13,4,1,18,5,3,4,SCAZUT,1,1,1,SCAZUT
6,9,3,2,7,4,2,30,1,20,4,SCAZUT,1,1,1,SCAZUT
5,23,3,1,13,3,2,16,1,37,7,SCAZUT,1,1,1,MEDIU
4,20,4,4,62,3,1,11,12,9,3,MEDIU,2,2,1,SCAZUT
6,21,3,3,24,3,3,8,3,7,5,SCAZUT,1,1,1,SCAZUT
6,18,2,3,10,1,1,16,3,32,3,SCAZUT,1,1,1,SCAZUT
4,11,8,7,42,9,4,24,7,0,6,MEDIU,3,2,1,MEDIU
3,8,2,2,12,2,1,10,0,5,8,SCAZUT,1,1,1,SCAZUT
6,10,1,3,22,1,1,21,1,13,4,SCAZUT,1,1,1,SCAZUT
5,17,2,3,21,1,1,18,3,1,4,SCAZUT,1,1,1,SCAZUT
4,15,0,0,12,0,0,10,0,32,4,SCAZUT,1,1,1,SCAZUT
2,23,1,3,12,1,0,11,3,27,6,SCAZUT,1,1,1,MEDIU
3,21,8,12,71,9,5,11,12,15,4,RIDICAT,5,3,2,MEDIU
1,22,3,1,13,3,3,22,3,35,2,SCAZUT,1,1,1,SCAZUT
0,8,1,1,18,1,1,9,3,10,7,SCAZUT,1,1,1,SCAZUT
0,20,6,5,57,8,4,14,13,18,4,MEDIU,2,2,1,MEDIU
0,9,0,0,23,0,0,13,3,3,2,SCAZUT,1,1,1,SCAZUT
6,13,0,1,17,0,0,26,0,38,1,SCAZUT,1,1,1,MEDIU
4,10,2,2,11,2,1,20,5,8,5,SCAZUT,1,1,1,SCAZUT
3,18,3,6,36,3,2,12,6,22,2,MEDIU,2,2,1,SCAZUT
1,19,4,6,64,5,4,28,9,33,1,MEDIU,2,2,1,MEDIU
5,17,1,2,8,1,0,17,0,38,4,SCAZUT,1,1,1,SCAZUT
5,18,2,3,13,1,1,16,0,2,1,SCAZUT,1,1,1,SCAZUT
2,12,10,12,93,14,8,11,20,4,3,RIDICAT,5,4,3,MEDIU
4,9,1,3,9,1,1,9,0,22,4,SCAZUT,1,1,1,SCAZUT
5,15,2,3,24,1,2,13,5,11,7,SCAZUT,1,1,1,SCAZUT
0,13,6,8,45,5,5,20,9,2,8,MEDIU,3,2,1,MEDIU
1,14,5,5,44,4,2,18,8,17,2,MEDIU,2,2,1,SCAZUT
6,16,3,2,5,4,1,26,0,16,1,SCAZUT,1,1,1,SCAZUT
